index,project,readme_url,size_bytes
1,.,https://github.com/elodin-sys/elodin/blob/main/README.md,1816
2,elodin,https://github.com/elodin-sys/elodin/blob/main/apps/elodin/README.md,842
3,memserve,https://github.com/elodin-sys/elodin/blob/main/docs/memserve/README.md,1579
4,public,https://github.com/elodin-sys/elodin/blob/main/docs/public/README.md,976
5,drone,https://github.com/elodin-sys/elodin/blob/main/examples/drone/README.md,975
6,c-blinky,https://github.com/elodin-sys/elodin/blob/main/fsw/c-blinky/README.md,665
7,gstreamer,https://github.com/elodin-sys/elodin/blob/main/fsw/gstreamer/README.md,3098
8,sensor-fw,https://github.com/elodin-sys/elodin/blob/main/fsw/sensor-fw/README.md,3445
9,video-streamer,https://github.com/elodin-sys/elodin/blob/main/fsw/video-streamer/README.md,2603
10,aleph,https://github.com/elodin-sys/elodin/blob/main/images/aleph/README.md,7329
11,basilisk-rs,https://github.com/elodin-sys/elodin/blob/main/libs/basilisk-rs/README.md,809
12,db,https://github.com/elodin-sys/elodin/blob/main/libs/db/README.md,2949
13,impeller2,https://github.com/elodin-sys/elodin/blob/main/libs/impeller2/README.md,238
14,nox-ecs,https://github.com/elodin-sys/elodin/blob/main/libs/nox-ecs/README.md,262
15,nox-py,https://github.com/elodin-sys/elodin/blob/main/libs/nox-py/README.md,810
16,noxla,https://github.com/elodin-sys/elodin/blob/main/libs/noxla/README.md,932
17,kdl,https://github.com/elodin-sys/elodin/blob/main/libs/impeller2/kdl/README.md,219
18,maitake,https://github.com/elodin-sys/elodin/blob/main/libs/stellarator/maitake/README.md,18529
19,examples,https://github.com/elodin-sys/elodin/blob/main/libs/postcard-c/codegen/examples/README.md,602
20,sync,https://github.com/elodin-sys/elodin/blob/main/libs/stellarator/maitake/sync/README.md,12570
21,util,https://github.com/elodin-sys/elodin/blob/main/libs/stellarator/maitake/util/README.md,2600
